DNI,index,Nom,Cognoms,Pais,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Nom i Cognoms,Español,Hijos,Fecha Nacimiento,Edad Actual,Grup,Increment
81229041Z,173,Carla,López Ferrer,Espanya,Sevilla,4,9,1962,Mujer,3089.88,,1.0,Grup D,Carla López Ferrer,True,No,1962-09-04,62,Grup D,0.08
99258742G,177,Amina,Bennani,Marroc,Casablanca,22,10,2004,Mujer,3183.84,1.0,,Grup D,Amina Bennani,False,Sí,2004-10-22,20,Grup D,0.08
33484869X,180,Jordi,Sánchez,Espanya,Barcelona,6,6,1981,Hombre,2976.48,,1.0,Grup D,Jordi Sánchez,True,No,1981-06-06,44,Grup D,0.08
88845881E,181,Pau,Martínez López,Espanya,Madrid,3,11,2000,Hombre,3007.8,1.0,,Grup D,Pau Martínez López,True,Sí,2000-11-03,24,Grup D,0.08
73128127J,220,Arnau,Castells Sánchez,Espanya,València,17,4,1998,Hombre,3014.28,,1.0,Grup D,Arnau Castells Sánchez,True,No,1998-04-17,27,Grup D,0.08
91487269P,238,Maria,Silva Oliveira,Portugal,Lisboa,4,9,1993,Null,3125.52,,1.0,Grup D,Maria Silva Oliveira,False,No,1993-09-04,31,Grup D,0.08
94898766F,254,Joan,Romero,Espanya,Barcelona,26,4,1969,Otros,3429.0,,1.0,Grup D,Joan Romero,True,No,1969-04-26,56,Grup D,0.08
87813160D,255,Arnau,Ferrer,Espanya,València,24,3,1990,Otros,2813.4,1.0,,Grup D,Arnau Ferrer,True,Sí,1990-03-24,35,Grup D,0.08
81992107P,259,María,Cruz,Mèxic,Ciutat de Mèxic,14,3,1958,Mujer,2865.24,1.0,,Grup D,María Cruz,False,Sí,1958-03-14,67,Grup D,0.08
86419307C,341,Eva,Castells Romero,Espanya,Bilbao,25,7,1988,Mujer,2627.64,1.0,,Grup D,Eva Castells Romero,True,Sí,1988-07-25,36,Grup D,0.08
94076717B,376,Marc,López,Espanya,Sevilla,8,2,1987,Null,3206.52,,1.0,Grup D,Marc López,True,No,1987-02-08,38,Grup D,0.08
63108914N,394,Joan,Martínez Sánchez,Espanya,València,18,2,1986,Hombre,3583.44,1.0,,Grup D,Joan Martínez Sánchez,True,Sí,1986-02-18,39,Grup D,0.08
19631537S,406,Laia,Ferrer,Espanya,Barcelona,21,12,1987,Mujer,3051.0,1.0,,Grup D,Laia Ferrer,True,Sí,1987-12-21,37,Grup D,0.08
10624826J,412,Laia,Sánchez López,Espanya,Bilbao,5,8,1972,Mujer,3201.12,,1.0,Grup D,Laia Sánchez López,True,No,1972-08-05,52,Grup D,0.08
31274825R,427,Clara,García Martínez,Espanya,Sevilla,2,9,1986,Mujer,2587.68,,1.0,Grup D,Clara García Martínez,True,No,1986-09-02,38,Grup D,0.08
19356603P,431,Marta,Castells,Espanya,Barcelona,2,10,2003,Mujer,2897.64,,1.0,Grup D,Marta Castells,True,No,2003-10-02,21,Grup D,0.08
19313369G,432,Florencia,Rodríguez Álvarez,Argentina,Còrdova,27,11,1999,Mujer,3255.12,,1.0,Grup D,Florencia Rodríguez Álvarez,False,No,1999-11-27,25,Grup D,0.08
26634596X,438,Laura,Schneider Müller,Alemanya,Munic,28,11,1990,Mujer,3000.24,,1.0,Grup D,Laura Schneider Müller,False,No,1990-11-28,34,Grup D,0.08
53672811D,448,Carla,Sánchez,Espanya,València,6,3,1957,Mujer,3187.08,1.0,,Grup D,Carla Sánchez,True,Sí,1957-03-06,68,Grup D,0.08
30289780L,451,Clara,López,Espanya,València,17,2,1951,Mujer,3150.36,1.0,,Grup D,Clara López,True,Sí,1951-02-17,74,Grup D,0.08
67448348B,470,Pau,García Romero,Espanya,Madrid,27,12,1983,Hombre,3046.68,,1.0,Grup D,Pau García Romero,True,No,1983-12-27,41,Grup D,0.08
46470158A,479,Arnau,Romero,Espanya,Bilbao,26,6,1951,Hombre,3595.32,1.0,,Grup D,Arnau Romero,True,Sí,1951-06-26,74,Grup D,0.08
68247465J,518,Joan,Martínez Romero,Espanya,Sevilla,4,7,1971,Hombre,3213.0,,1.0,Grup D,Joan Martínez Romero,True,No,1971-07-04,54,Grup D,0.08
26689120S,537,Clara,Romero,Espanya,València,4,1,1974,Mujer,3262.68,1.0,,Grup D,Clara Romero,True,Sí,1974-01-04,51,Grup D,0.08
29203160E,553,Arnau,López Martínez,Espanya,València,24,1,1970,Hombre,3513.24,1.0,,Grup D,Arnau López Martínez,True,Sí,1970-01-24,55,Grup D,0.08
44060014R,602,Jonas,Schneider,Alemanya,Berlín,22,11,1985,Hombre,2974.32,1.0,,Grup D,Jonas Schneider,False,Sí,1985-11-22,39,Grup D,0.08
12868239Z,639,Toni,López,Espanya,Sevilla,10,3,1989,Hombre,3112.56,,1.0,Grup D,Toni López,True,No,1989-03-10,36,Grup D,0.08
65535145H,650,Pau,Castells,Espanya,Bilbao,20,7,1953,Hombre,3188.16,,1.0,Grup D,Pau Castells,True,No,1953-07-20,71,Grup D,0.08
33366982Q,687,Pau,García,Espanya,Madrid,11,3,1976,Null,3142.8,,1.0,Grup D,Pau García,True,No,1976-03-11,49,Grup D,0.08
13080692S,708,Eva,Ferrer Romero,Espanya,Barcelona,1,11,2005,Mujer,3130.92,,1.0,Grup D,Eva Ferrer Romero,True,No,2005-11-01,19,Grup D,0.08
14345055N,710,Michel,Girard Dubois,França,París,9,8,1970,Hombre,3210.84,,1.0,Grup D,Michel Girard Dubois,False,No,1970-08-09,54,Grup D,0.08
96810023K,725,Jordi,López,Espanya,Madrid,25,6,1995,Hombre,3518.64,,1.0,Grup D,Jordi López,True,No,1995-06-25,30,Grup D,0.08
87285985P,741,Clara,Sánchez,Espanya,Madrid,1,10,2002,Otros,3393.36,1.0,,Grup D,Clara Sánchez,True,Sí,2002-10-01,22,Grup D,0.08
23290905N,744,Laia,López Castells,Espanya,Madrid,13,8,1971,Null,2824.2,1.0,,Grup D,Laia López Castells,True,Sí,1971-08-13,53,Grup D,0.08
30561064P,749,Oriol,López Castells,Espanya,Madrid,14,4,1987,Hombre,3624.48,,1.0,Grup D,Oriol López Castells,True,No,1987-04-14,38,Grup D,0.08
68512981B,777,Leon,Schneider Schneider,Alemanya,Hamburg,16,10,1977,Hombre,3222.72,,1.0,Grup D,Leon Schneider Schneider,False,No,1977-10-16,47,Grup D,0.08
70201568H,784,Joan,Martínez Ferrer,Espanya,València,12,3,1964,Hombre,3137.4,,1.0,Grup D,Joan Martínez Ferrer,True,No,1964-03-12,61,Grup D,0.08
28237150F,832,Giovanni,Rossi Russo,Itàlia,Torí,10,12,2000,Hombre,3093.12,1.0,,Grup D,Giovanni Rossi Russo,False,Sí,2000-12-10,24,Grup D,0.08
60305889V,863,Oriol,Ferrer,Espanya,Madrid,12,3,1995,Hombre,3517.56,1.0,,Grup D,Oriol Ferrer,True,Sí,1995-03-12,30,Grup D,0.08
25997800F,873,Beatriz,Ferreira Pereira,Portugal,Lisboa,25,10,2004,Mujer,2566.08,1.0,,Grup D,Beatriz Ferreira Pereira,False,Sí,2004-10-25,20,Grup D,0.08
49712589T,879,Marta,López,Espanya,Madrid,9,7,2004,Mujer,2986.2,,1.0,Grup D,Marta López,True,No,2004-07-09,21,Grup D,0.08
68438696L,890,Clara,López Castells,Espanya,València,9,4,1982,Mujer,3242.16,,1.0,Grup D,Clara López Castells,True,No,1982-04-09,43,Grup D,0.08
96650060J,952,Anna,Sánchez Castells,Espanya,Sevilla,1,2,1960,Mujer,2840.4,,1.0,Grup D,Anna Sánchez Castells,True,No,1960-02-01,65,Grup D,0.08
