DNI,index,Nom,Cognoms,Pais,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Nom i Cognoms,Español,Hijos,Fecha Nacimiento,Edad Actual,Grup,Increment
66876326G,61,Jordi,Sánchez,Espanya,València,19,6,1984,Hombre,1305.15,1.0,,Grup A,Jordi Sánchez,True,Sí,1984-06-19,41,Grup A,0.05
55802716W,65,Miguel,González,Mèxic,Ciutat de Mèxic,22,3,2002,Hombre,1607.55,,1.0,Grup A,Miguel González,False,No,2002-03-22,23,Grup A,0.05
86310227T,67,Núria,Martínez,Espanya,Madrid,19,3,1986,Mujer,1475.25,,1.0,Grup A,Núria Martínez,True,No,1986-03-19,39,Grup A,0.05
79942683D,69,Valentina,Torres Torres,Colòmbia,Medellín,24,7,1951,Null,1314.6,,1.0,Grup A,Valentina Torres Torres,False,No,1951-07-24,73,Grup A,0.05
17393705Z,72,Joan,Castells,Espanya,Barcelona,10,12,1975,Hombre,1750.35,1.0,,Grup A,Joan Castells,True,Sí,1975-12-10,49,Grup A,0.05
94678339J,73,Anna,Martínez Martínez,Espanya,Sevilla,10,4,1985,Mujer,1399.65,,1.0,Grup A,Anna Martínez Martínez,True,No,1985-04-10,40,Grup A,0.05
82819660N,75,Michel,Moreau,França,Lió,2,5,1970,Hombre,850.5,,1.0,Grup A,Michel Moreau,False,No,1970-05-02,55,Grup A,0.05
98082914F,77,Anna,Ferrer Sánchez,Espanya,Bilbao,21,10,1982,Mujer,1389.15,,1.0,Grup A,Anna Ferrer Sánchez,True,No,1982-10-21,42,Grup A,0.05
96108474K,79,Clara,García,Espanya,Sevilla,10,3,1955,Mujer,849.45,,1.0,Grup A,Clara García,True,No,1955-03-10,70,Grup A,0.05
96617848Y,81,Valentina,Gutiérrez Castro,Colòmbia,Bogotà,2,1,2001,Otros,1117.2,,1.0,Grup A,Valentina Gutiérrez Castro,False,No,2001-01-02,24,Grup A,0.05
14944003P,83,Arnau,Sánchez López,Espanya,Barcelona,28,6,1960,Hombre,1171.8,,1.0,Grup A,Arnau Sánchez López,True,No,1960-06-28,65,Grup A,0.05
34050427S,84,Daniela,Castro Castro,Colòmbia,Medellín,25,12,1980,Mujer,1225.35,,1.0,Grup A,Daniela Castro Castro,False,No,1980-12-25,44,Grup A,0.05
64134967K,85,Clara,Sánchez,Espanya,Bilbao,1,10,1965,Mujer,857.85,1.0,,Grup A,Clara Sánchez,True,Sí,1965-10-01,59,Grup A,0.05
98288475Z,89,Youssef,Bennani,Marroc,Casablanca,20,9,1957,Hombre,819.0,1.0,,Grup A,Youssef Bennani,False,Sí,1957-09-20,67,Grup A,0.05
80981912X,90,Eva,Martínez,Espanya,Barcelona,11,9,1974,Mujer,822.15,,1.0,Grup A,Eva Martínez,True,No,1974-09-11,50,Grup A,0.05
49728917R,91,Sophie,Taylor,Regne Unit,Londres,27,2,1983,Mujer,1542.45,,1.0,Grup A,Sophie Taylor,False,No,1983-02-27,42,Grup A,0.05
64074954W,92,Mohamed,Zahraoui,Marroc,Rabat,18,11,1950,Hombre,1570.8,,1.0,Grup A,Mohamed Zahraoui,False,No,1950-11-18,74,Grup A,0.05
31039740J,93,Anna,Castells,Espanya,Bilbao,20,3,1987,Mujer,1450.05,,1.0,Grup A,Anna Castells,True,No,1987-03-20,38,Grup A,0.05
76740096F,96,Joan,Romero Romero,Espanya,Barcelona,21,2,1999,Hombre,1620.15,1.0,,Grup A,Joan Romero Romero,True,Sí,1999-02-21,26,Grup A,0.05
42373200J,98,Anna,Sánchez,Espanya,Barcelona,17,7,1984,Otros,1509.9,1.0,,Grup A,Anna Sánchez,True,Sí,1984-07-17,40,Grup A,0.05
91877877E,100,Tiago,Ferreira,Portugal,Porto,22,11,1993,Hombre,1308.3,1.0,,Grup A,Tiago Ferreira,False,Sí,1993-11-22,31,Grup A,0.05
92828803F,101,Eva,Romero,Espanya,València,16,4,1985,Mujer,1130.85,1.0,,Grup A,Eva Romero,True,Sí,1985-04-16,40,Grup A,0.05
24213568B,103,Felipe,Torres,Colòmbia,Bogotà,19,3,1970,Hombre,1302.0,1.0,,Grup A,Felipe Torres,False,Sí,1970-03-19,55,Grup A,0.05
69934163X,104,Laia,Martínez Ferrer,Espanya,Bilbao,19,10,1956,Mujer,1030.05,1.0,,Grup A,Laia Martínez Ferrer,True,Sí,1956-10-19,68,Grup A,0.05
48108194K,105,Marta,Sánchez,Espanya,Bilbao,1,9,1972,Mujer,1211.7,,1.0,Grup A,Marta Sánchez,True,No,1972-09-01,52,Grup A,0.05
36035835A,107,Toni,Romero,Espanya,València,26,11,1991,Hombre,1445.85,1.0,,Grup A,Toni Romero,True,Sí,1991-11-26,33,Grup A,0.05
25463106V,108,Núria,Ferrer,Espanya,Barcelona,18,4,1957,Null,1465.8,1.0,,Grup A,Núria Ferrer,True,Sí,1957-04-18,68,Grup A,0.05
89652804F,110,Marc,Ferrer Castells,Espanya,Barcelona,25,8,2002,Hombre,1755.6,,1.0,Grup A,Marc Ferrer Castells,True,No,2002-08-25,22,Grup A,0.05
42278299Y,117,Toni,Ferrer,Espanya,Madrid,19,8,1967,Hombre,1641.15,,1.0,Grup A,Toni Ferrer,True,No,1967-08-19,57,Grup A,0.05
35072309W,118,Pau,Ferrer,Espanya,Bilbao,6,8,1964,Hombre,1213.8,,1.0,Grup A,Pau Ferrer,True,No,1964-08-06,60,Grup A,0.05
85696755S,120,Marc,García,Espanya,Barcelona,23,7,1998,Hombre,1408.05,1.0,,Grup A,Marc García,True,Sí,1998-07-23,26,Grup A,0.05
45293682M,122,Joan,Sánchez,Espanya,Sevilla,5,8,1988,Hombre,1125.6,1.0,,Grup A,Joan Sánchez,True,Sí,1988-08-05,36,Grup A,0.05
68948799D,123,Clara,Castells García,Espanya,Bilbao,11,1,1964,Mujer,1155.0,1.0,,Grup A,Clara Castells García,True,Sí,1964-01-11,61,Grup A,0.05
18522481J,125,Oriol,Martínez,Espanya,Madrid,18,1,1994,Hombre,1580.25,,1.0,Grup A,Oriol Martínez,True,No,1994-01-18,31,Grup A,0.05
23128433S,126,Anna,Müller,Alemanya,Munic,18,3,1956,Mujer,1344.0,,1.0,Grup A,Anna Müller,False,No,1956-03-18,69,Grup A,0.05
43378401L,127,Núria,Castells Sánchez,Espanya,Sevilla,26,3,1975,Mujer,698.25,,1.0,Grup A,Núria Castells Sánchez,True,No,1975-03-26,50,Grup A,0.05
77333333Q,128,Pau,Ferrer,Espanya,Sevilla,1,1,1999,Hombre,1614.9,,1.0,Grup A,Pau Ferrer,True,No,1999-01-01,26,Grup A,0.05
62356732M,129,Tiago,Silva Pereira,Portugal,Porto,24,3,1980,Hombre,1502.55,,1.0,Grup A,Tiago Silva Pereira,False,No,1980-03-24,45,Grup A,0.05
78286678X,130,Marc,García Ferrer,Espanya,València,16,8,1998,Hombre,1252.65,,1.0,Grup A,Marc García Ferrer,True,No,1998-08-16,26,Grup A,0.05
57021851P,132,Pau,Castells,Espanya,Sevilla,23,3,1978,Hombre,859.95,,1.0,Grup A,Pau Castells,True,No,1978-03-23,47,Grup A,0.05
76101195A,133,Jean,Lefevre,França,Marsella,8,10,1959,Hombre,819.0,,1.0,Grup A,Jean Lefevre,False,No,1959-10-08,65,Grup A,0.05
63688361W,136,Joan,García,Espanya,Barcelona,24,12,1957,Hombre,1635.9,1.0,,Grup A,Joan García,True,Sí,1957-12-24,67,Grup A,0.05
96178808S,140,Pau,Romero Castells,Espanya,Madrid,14,7,1996,Hombre,1629.6,1.0,,Grup A,Pau Romero Castells,True,Sí,1996-07-14,29,Grup A,0.05
98226417L,141,Giulia,Russo Conti,Itàlia,Milà,25,2,1971,Mujer,1096.2,,1.0,Grup A,Giulia Russo Conti,False,No,1971-02-25,54,Grup A,0.05
99620931S,142,Clara,Sánchez Castells,Espanya,València,19,3,1972,Mujer,1213.8,,1.0,Grup A,Clara Sánchez Castells,True,No,1972-03-19,53,Grup A,0.05
65405375Z,143,Marc,García Romero,Espanya,Sevilla,2,1,1982,Hombre,1182.3,,1.0,Grup A,Marc García Romero,True,No,1982-01-02,43,Grup A,0.05
10674532Q,144,Jordi,Castells Ferrer,Espanya,Bilbao,23,2,1979,Hombre,1279.95,,1.0,Grup A,Jordi Castells Ferrer,True,No,1979-02-23,46,Grup A,0.05
55464877X,145,Laia,Castells,Espanya,Sevilla,6,10,1992,Null,1544.55,,1.0,Grup A,Laia Castells,True,No,1992-10-06,32,Grup A,0.05
30574341W,149,Oriol,García,Espanya,Madrid,8,3,1954,Otros,1640.1,,1.0,Grup A,Oriol García,True,No,1954-03-08,71,Grup A,0.05
97566754L,150,Marc,Martínez Martínez,Espanya,Barcelona,6,4,2001,Null,1160.25,1.0,,Grup A,Marc Martínez Martínez,True,Sí,2001-04-06,24,Grup A,0.05
54607036B,152,Eva,Ferrer,Espanya,Sevilla,24,1,1967,Mujer,849.45,,1.0,Grup A,Eva Ferrer,True,No,1967-01-24,58,Grup A,0.05
27007812G,153,Toni,Romero,Espanya,Barcelona,9,12,1989,Hombre,1741.95,1.0,,Grup A,Toni Romero,True,Sí,1989-12-09,35,Grup A,0.05
20733024B,155,Jordi,Ferrer Martínez,Espanya,Sevilla,26,1,1970,Hombre,1537.2,1.0,,Grup A,Jordi Ferrer Martínez,True,Sí,1970-01-26,55,Grup A,0.05
53967981Q,158,Pau,Sánchez,Espanya,Madrid,1,12,1982,Otros,896.7,,1.0,Grup A,Pau Sánchez,True,No,1982-12-01,42,Grup A,0.05
52195959W,160,Carla,Castells García,Espanya,Bilbao,7,1,1994,Mujer,1358.7,,1.0,Grup A,Carla Castells García,True,No,1994-01-07,31,Grup A,0.05
93759961P,162,Alessandro,Russo Ferrari,Itàlia,Roma,13,8,1965,Hombre,987.0,,1.0,Grup A,Alessandro Russo Ferrari,False,No,1965-08-13,59,Grup A,0.05
45820844F,163,Michel,Lefevre,França,Lió,14,1,1985,Hombre,862.05,1.0,,Grup A,Michel Lefevre,False,Sí,1985-01-14,40,Grup A,0.05
89715580M,164,Salma,Zahraoui El Amrani,Marroc,Rabat,28,9,1950,Mujer,1198.05,,1.0,Grup A,Salma Zahraoui El Amrani,False,No,1950-09-28,74,Grup A,0.05
14065699S,168,Núria,Sánchez,Espanya,Sevilla,2,11,1991,Mujer,1078.35,,1.0,Grup A,Núria Sánchez,True,No,1991-11-02,33,Grup A,0.05
13695774G,169,Eva,Castells,Espanya,Madrid,20,11,1957,Mujer,1445.85,,1.0,Grup A,Eva Castells,True,No,1957-11-20,67,Grup A,0.05
15812105B,174,Marc,Martínez Ferrer,Espanya,Madrid,14,7,1971,Otros,1258.95,,1.0,Grup A,Marc Martínez Ferrer,True,No,1971-07-14,54,Grup A,0.05
68523497H,182,Marta,Ferrer,Espanya,Madrid,6,10,1986,Mujer,1344.0,,1.0,Grup A,Marta Ferrer,True,No,1986-10-06,38,Grup A,0.05
85011730B,188,Oriol,García Castells,Espanya,Barcelona,18,6,1955,Hombre,1272.6,,1.0,Grup A,Oriol García Castells,True,No,1955-06-18,70,Grup A,0.05
26724488C,189,Arnau,Ferrer Sánchez,Espanya,Sevilla,3,5,1994,Hombre,1132.95,,1.0,Grup A,Arnau Ferrer Sánchez,True,No,1994-05-03,31,Grup A,0.05
76202240S,190,Louis,Moreau,França,Lió,13,2,1974,Hombre,1747.2,1.0,,Grup A,Louis Moreau,False,Sí,1974-02-13,51,Grup A,0.05
59073585L,194,Oriol,Martínez Martínez,Espanya,Sevilla,14,6,1991,Null,1178.1,1.0,,Grup A,Oriol Martínez Martínez,True,Sí,1991-06-14,34,Grup A,0.05
65912422Z,198,Carla,López,Espanya,Barcelona,18,7,1965,Mujer,1216.95,1.0,,Grup A,Carla López,True,Sí,1965-07-18,59,Grup A,0.05
18599075T,199,Eva,Sánchez,Espanya,Sevilla,7,8,1992,Mujer,1048.95,1.0,,Grup A,Eva Sánchez,True,Sí,1992-08-07,32,Grup A,0.05
18968118M,203,Felipe,Gutiérrez Torres,Colòmbia,Bogotà,25,10,2004,Hombre,1444.8,,1.0,Grup A,Felipe Gutiérrez Torres,False,No,2004-10-25,20,Grup A,0.05
52655443Q,204,Gabriela,Cruz González,Mèxic,Ciutat de Mèxic,3,1,1955,Mujer,1084.65,1.0,,Grup A,Gabriela Cruz González,False,Sí,1955-01-03,70,Grup A,0.05
77962069Z,205,Carla,Ferrer López,Espanya,València,2,4,1984,Mujer,1569.75,1.0,,Grup A,Carla Ferrer López,True,Sí,1984-04-02,41,Grup A,0.05
79849410R,207,Carla,Ferrer López,Espanya,Sevilla,17,7,1982,Mujer,856.8,,1.0,Grup A,Carla Ferrer López,True,No,1982-07-17,42,Grup A,0.05
58786173A,209,Laia,Martínez,Espanya,Madrid,26,2,1979,Mujer,1371.3,,1.0,Grup A,Laia Martínez,True,No,1979-02-26,46,Grup A,0.05
80377928E,211,José,Hernández,Mèxic,Guadalajara,12,1,1992,Otros,1440.6,,1.0,Grup A,José Hernández,False,No,1992-01-12,33,Grup A,0.05
35319597A,213,Toni,López Castells,Espanya,Sevilla,18,8,1977,Hombre,810.6,,1.0,Grup A,Toni López Castells,True,No,1977-08-18,47,Grup A,0.05
78873166E,214,Beatriz,Ferreira Ferreira,Portugal,Lisboa,17,11,1952,Null,1022.7,,1.0,Grup A,Beatriz Ferreira Ferreira,False,No,1952-11-17,72,Grup A,0.05
50776135C,215,Laia,Ferrer,Espanya,Barcelona,23,11,1972,Mujer,987.0,,1.0,Grup A,Laia Ferrer,True,No,1972-11-23,52,Grup A,0.05
20477181R,216,Anna,Castells García,Espanya,Barcelona,22,10,1952,Mujer,732.9,,1.0,Grup A,Anna Castells García,True,No,1952-10-22,72,Grup A,0.05
96251362T,217,Oriol,Ferrer Martínez,Espanya,Barcelona,26,7,1950,Hombre,1001.7,,1.0,Grup A,Oriol Ferrer Martínez,True,No,1950-07-26,74,Grup A,0.05
21898585T,218,Jordi,Sánchez,Espanya,Barcelona,18,6,1981,Hombre,840.0,1.0,,Grup A,Jordi Sánchez,True,Sí,1981-06-18,44,Grup A,0.05
60439277L,223,Marc,Castells Sánchez,Espanya,Madrid,24,10,1974,Hombre,884.1,,1.0,Grup A,Marc Castells Sánchez,True,No,1974-10-24,50,Grup A,0.05
24418722F,225,Marta,Romero Sánchez,Espanya,Bilbao,19,7,1968,Mujer,1087.8,,1.0,Grup A,Marta Romero Sánchez,True,No,1968-07-19,56,Grup A,0.05
93647831W,226,Jordi,Sánchez Martínez,Espanya,Barcelona,6,11,1998,Hombre,1149.75,,1.0,Grup A,Jordi Sánchez Martínez,True,No,1998-11-06,26,Grup A,0.05
63099488Q,228,Youssef,Fassi Zahraoui,Marroc,Casablanca,8,3,2003,Hombre,1300.95,1.0,,Grup A,Youssef Fassi Zahraoui,False,Sí,2003-03-08,22,Grup A,0.05
16775772V,229,Pau,López,Espanya,Madrid,24,5,1977,Hombre,889.35,,1.0,Grup A,Pau López,True,No,1977-05-24,48,Grup A,0.05
58136944R,230,Marta,Ferrer,Espanya,Barcelona,28,6,2001,Mujer,1368.15,1.0,,Grup A,Marta Ferrer,True,Sí,2001-06-28,24,Grup A,0.05
43731528C,231,Oliver,Jones,Regne Unit,Londres,1,6,1959,Hombre,956.55,1.0,,Grup A,Oliver Jones,False,Sí,1959-06-01,66,Grup A,0.05
56628392X,233,Carla,García Martínez,Espanya,Madrid,19,4,1981,Mujer,1565.55,1.0,,Grup A,Carla García Martínez,True,Sí,1981-04-19,44,Grup A,0.05
37718344N,234,Marta,García Sánchez,Espanya,València,3,2,1962,Mujer,1176.0,1.0,,Grup A,Marta García Sánchez,True,Sí,1962-02-03,63,Grup A,0.05
77632270Q,235,Laia,Castells,Espanya,Madrid,11,4,1986,Mujer,962.85,,1.0,Grup A,Laia Castells,True,No,1986-04-11,39,Grup A,0.05
80554783G,236,Sophie,Moreau Dubois,França,Marsella,27,4,1956,Mujer,1581.3,,1.0,Grup A,Sophie Moreau Dubois,False,No,1956-04-27,69,Grup A,0.05
76674953J,237,Jordi,Sánchez,Espanya,Bilbao,5,3,1952,Hombre,1311.45,,1.0,Grup A,Jordi Sánchez,True,No,1952-03-05,73,Grup A,0.05
10261037F,239,Clara,Sánchez,Espanya,Sevilla,14,10,1970,Mujer,984.9,1.0,,Grup A,Clara Sánchez,True,Sí,1970-10-14,54,Grup A,0.05
72940295V,240,Tiago,Oliveira,Portugal,Porto,22,3,1989,Hombre,1421.7,1.0,,Grup A,Tiago Oliveira,False,Sí,1989-03-22,36,Grup A,0.05
53263676R,241,Chloé,Girard,França,París,5,10,1952,Mujer,778.05,1.0,,Grup A,Chloé Girard,False,Sí,1952-10-05,72,Grup A,0.05
69900538Q,246,Núria,López Romero,Espanya,Barcelona,17,9,1957,Mujer,1099.35,,1.0,Grup A,Núria López Romero,True,No,1957-09-17,67,Grup A,0.05
97525504X,248,Laia,Martínez,Espanya,Barcelona,22,1,1951,Mujer,1247.4,1.0,,Grup A,Laia Martínez,True,Sí,1951-01-22,74,Grup A,0.05
49833520M,250,Marta,García Romero,Espanya,Madrid,27,10,1984,Mujer,1001.7,,1.0,Grup A,Marta García Romero,True,No,1984-10-27,40,Grup A,0.05
30736318Q,252,Élise,Moreau,França,París,25,7,2001,Mujer,976.5,,1.0,Grup A,Élise Moreau,False,No,2001-07-25,23,Grup A,0.05
57192874B,253,Pau,Romero Romero,Espanya,Sevilla,12,4,1990,Hombre,987.0,,1.0,Grup A,Pau Romero Romero,True,No,1990-04-12,35,Grup A,0.05
31682831V,257,Daniela,Torres,Colòmbia,Medellín,17,5,1970,Mujer,1117.2,1.0,,Grup A,Daniela Torres,False,Sí,1970-05-17,55,Grup A,0.05
81401769X,261,Clara,Ferrer,Espanya,València,14,12,2002,Mujer,1027.95,1.0,,Grup A,Clara Ferrer,True,Sí,2002-12-14,22,Grup A,0.05
98052221N,262,Marta,Martínez,Espanya,Bilbao,22,6,1973,Mujer,858.9,,1.0,Grup A,Marta Martínez,True,No,1973-06-22,52,Grup A,0.05
68625528R,264,Jordi,López,Espanya,València,1,5,1996,Hombre,1384.95,1.0,,Grup A,Jordi López,True,Sí,1996-05-01,29,Grup A,0.05
58101481N,265,Jordi,Sánchez,Espanya,Bilbao,20,4,1993,Hombre,1353.45,,1.0,Grup A,Jordi Sánchez,True,No,1993-04-20,32,Grup A,0.05
12401771G,266,Anna,García,Espanya,Madrid,19,7,1972,Null,1069.95,,1.0,Grup A,Anna García,True,No,1972-07-19,52,Grup A,0.05
16472230S,271,Clara,Ferrer García,Espanya,València,26,1,1957,Mujer,730.8,1.0,,Grup A,Clara Ferrer García,True,Sí,1957-01-26,68,Grup A,0.05
29758839B,272,Eva,García Sánchez,Espanya,Madrid,28,5,1968,Mujer,995.4,,1.0,Grup A,Eva García Sánchez,True,No,1968-05-28,57,Grup A,0.05
34349532Y,273,Marc,Ferrer Sánchez,Espanya,Barcelona,15,7,1977,Hombre,1757.7,,1.0,Grup A,Marc Ferrer Sánchez,True,No,1977-07-15,48,Grup A,0.05
52037173E,274,Núria,García Martínez,Espanya,Barcelona,26,5,2005,Mujer,1386.0,1.0,,Grup A,Núria García Martínez,True,Sí,2005-05-26,20,Grup A,0.05
38355195J,275,Pau,Ferrer García,Espanya,València,14,9,1984,Hombre,1332.45,1.0,,Grup A,Pau Ferrer García,True,Sí,1984-09-14,40,Grup A,0.05
61746871V,276,Alessandro,Ferrari,Itàlia,Torí,13,4,1972,Otros,1400.7,1.0,,Grup A,Alessandro Ferrari,False,Sí,1972-04-13,53,Grup A,0.05
59810160K,277,Jordi,Romero Ferrer,Espanya,Madrid,15,4,2002,Hombre,1353.45,,1.0,Grup A,Jordi Romero Ferrer,True,No,2002-04-15,23,Grup A,0.05
10102138Q,280,Núria,Sánchez Martínez,Espanya,Madrid,4,1,1958,Mujer,1522.5,,1.0,Grup A,Núria Sánchez Martínez,True,No,1958-01-04,67,Grup A,0.05
23266650S,281,Lea,Müller,Alemanya,Hamburg,14,4,2003,Mujer,1379.7,,1.0,Grup A,Lea Müller,False,No,2003-04-14,22,Grup A,0.05
74165595P,282,Jordi,Castells,Espanya,Bilbao,1,6,1953,Hombre,1392.3,1.0,,Grup A,Jordi Castells,True,Sí,1953-06-01,72,Grup A,0.05
37325572G,283,Carla,López López,Espanya,Barcelona,7,3,1956,Mujer,852.6,1.0,,Grup A,Carla López López,True,Sí,1956-03-07,69,Grup A,0.05
21309247F,284,Oriol,García Ferrer,Espanya,Barcelona,9,12,2003,Hombre,1683.15,1.0,,Grup A,Oriol García Ferrer,True,Sí,2003-12-09,21,Grup A,0.05
92913286B,285,Michel,Dubois Dubois,França,Lió,4,9,1979,Hombre,1149.75,,1.0,Grup A,Michel Dubois Dubois,False,No,1979-09-04,45,Grup A,0.05
71124235C,286,Carla,Ferrer,Espanya,Barcelona,27,10,1987,Mujer,877.8,,1.0,Grup A,Carla Ferrer,True,No,1987-10-27,37,Grup A,0.05
42839231P,288,Arnau,López Martínez,Espanya,Barcelona,15,11,1972,Hombre,1666.35,,1.0,Grup A,Arnau López Martínez,True,No,1972-11-15,52,Grup A,0.05
90781919E,289,Miguel,González,Mèxic,Guadalajara,15,9,1955,Hombre,1232.7,,1.0,Grup A,Miguel González,False,No,1955-09-15,69,Grup A,0.05
43099073D,293,Marc,Martínez Martínez,Espanya,Bilbao,4,1,2001,Hombre,1751.4,1.0,,Grup A,Marc Martínez Martínez,True,Sí,2001-01-04,24,Grup A,0.05
71930041T,295,Oriol,Romero Castells,Espanya,València,25,4,1970,Hombre,1539.3,,1.0,Grup A,Oriol Romero Castells,True,No,1970-04-25,55,Grup A,0.05
20637004R,296,Jordi,Romero López,Espanya,Sevilla,13,3,1973,Hombre,1434.3,,1.0,Grup A,Jordi Romero López,True,No,1973-03-13,52,Grup A,0.05
16777341F,299,José,González,Mèxic,Ciutat de Mèxic,16,8,1973,Hombre,1077.3,,1.0,Grup A,José González,False,No,1973-08-16,51,Grup A,0.05
38867232T,304,Eva,García,Espanya,València,28,9,1950,Mujer,793.8,,1.0,Grup A,Eva García,True,No,1950-09-28,74,Grup A,0.05
15056420W,305,George,Taylor Taylor,Regne Unit,Londres,8,9,1965,Hombre,1191.75,1.0,,Grup A,George Taylor Taylor,False,Sí,1965-09-08,59,Grup A,0.05
21786454M,307,Laia,Martínez,Espanya,Barcelona,11,2,1951,Mujer,1371.3,,1.0,Grup A,Laia Martínez,True,No,1951-02-11,74,Grup A,0.05
28269893J,308,Joan,Martínez Martínez,Espanya,València,1,2,1960,Hombre,1060.5,,1.0,Grup A,Joan Martínez Martínez,True,No,1960-02-01,65,Grup A,0.05
