Nom,Cognoms,DNI,País d'origen,Ciutat,Dia de Naixement,Mes de Naixement,Any de Naixement,Gènere,Salari mensual,Fills,No Fills,Grup Professional
Pau,López Martínez,35957209T,Espanya,València,1,1,1988,H,2.805 €,,True,Grup C
Toni,Romero,36035835A,Espanya,València,26,11,1991,H,1.377 €,True,,Grup A
Núria,Ferrer,25463106V,Espanya,Barcelona,18,4,1957,NC,1.396 €,True,,Grup A
Toni,Ferrer,80887497Q,Espanya,Barcelona,12,4,1985,H,2.639 €,,True,Grup C
Marc,Ferrer Castells,89652804F,Espanya,Barcelona,25,8,2002,H,1.672 €,,True,Grup A
Núria,López,90181637T,Espanya,Bilbao,1,1,1973,D,1.667 €,True,,Grup B
Toni,García,85738042R,Espanya,Bilbao,28,10,1998,H,2.714 €,True,,Grup C
Olivia,Jones Brown,98761038G,Regne Unit,Londres,20,1,1965,A,2.460 €,True,,Grup C
Toni,Castells,82953871E,Espanya,València,1,4,1963,H,1.764 €,True,,Grup B
Arnau,Sánchez García,58847232T,Espanya,València,24,2,1978,H,3.283 €,,True,Grup D
Arnau,Castells Castells,60585845J,Espanya,Madrid,7,11,1963,H,2.157 €,,True,Grup C
Toni,Ferrer,42278299Y,Espanya,Madrid,19,8,1967,H,1.563 €,,True,Grup A
Pau,Ferrer,35072309W,Espanya,Bilbao,6,8,1964,H,1.156 €,,True,Grup A
Arnau,Romero,98253101W,Espanya,Madrid,26,6,1985,H,2.736 €,,True,Grup C
Marc,García,85696755S,Espanya,Barcelona,23,7,1998,H,1.341 €,True,,Grup A
Gabriela,González,57340670Z,Mèxic,Ciutat de Mèxic,17,6,1955,D,1.612 €,True,,Grup B
Joan,Sánchez,45293682M,Espanya,Sevilla,5,8,1988,H,1.072 €,True,,Grup A
Clara,Castells García,68948799D,Espanya,Bilbao,11,1,1964,D,1.100 €,True,,Grup A
Marta,Romero,22972474K,Espanya,València,3,12,1958,D,1.532 €,,True,Grup C
Oriol,Martínez,18522481J,Espanya,Madrid,18,1,1994,H,1.505 €,,True,Grup A
Anna,Müller,23128433S,Alemanya,Munic,18,3,1956,D,1.280 €,,True,Grup A
Núria,Castells Sánchez,43378401L,Espanya,Sevilla,26,3,1975,D,665 €,,True,Grup A
Pau,Ferrer,77333333Q,Espanya,Sevilla,1,1,1999,H,1.538 €,,True,Grup A
Tiago,Silva Pereira,62356732M,Portugal,Porto,24,3,1980,H,1.431 €,,True,Grup A
Marc,García Ferrer,78286678X,Espanya,València,16,8,1998,H,1.193 €,,True,Grup A
Pau,Sánchez,21762997G,Espanya,Barcelona,13,3,1962,H,1.473 €,,True,Grup B
Pau,Castells,57021851P,Espanya,Sevilla,23,3,1978,H,819 €,,True,Grup A
Jean,Lefevre,76101195A,França,Marsella,8,10,1959,H,780 €,,True,Grup A
Laia,Sánchez Castells,53012171X,Espanya,Barcelona,21,11,1970,D,2.057 €,True,,Grup B
Toni,Castells,41156735G,Espanya,Bilbao,7,6,1990,H,1.674 €,,True,Grup B
Joan,García,63688361W,Espanya,Barcelona,24,12,1957,H,1.558 €,True,,Grup A
Valentina,Castro,58619725P,Colòmbia,Bogotà,2,9,1951,D,2.597 €,True,,Grup C
Chloé,Girard,12234836K,França,Marsella,17,4,1977,D,1.985 €,True,,Grup B
Anna,Castells Martínez,99521295N,Espanya,València,3,4,1991,D,1.414 €,,True,Grup B
Pau,Romero Castells,96178808S,Espanya,Madrid,14,7,1996,H,1.552 €,True,,Grup A
Giulia,Russo Conti,98226417L,Itàlia,Milà,25,2,1971,D,1.044 €,,True,Grup A
Clara,Sánchez Castells,99620931S,Espanya,València,19,3,1972,D,1.156 €,,True,Grup A
Marc,García Romero,65405375Z,Espanya,Sevilla,2,1,1982,H,1.126 €,,True,Grup A
Jordi,Castells Ferrer,10674532Q,Espanya,Bilbao,23,2,1979,H,1.219 €,,True,Grup A
Laia,Castells,55464877X,Espanya,Sevilla,6,10,1992,NC,1.471 €,,True,Grup A
Eva,Castells García,25710763B,Espanya,Bilbao,18,3,1993,D,2.628 €,,True,Grup C
Núria,Sánchez Castells,58966169Z,Espanya,Madrid,12,5,1981,NC,2.742 €,,True,Grup D
Clara,Romero,76564295Y,Espanya,Madrid,5,12,1986,D,2.543 €,,True,Grup C
Oriol,García,30574341W,Espanya,Madrid,8,3,1954,A,1.562 €,,True,Grup A
Marc,Martínez Martínez,97566754L,Espanya,Barcelona,6,4,2001,NC,1.105 €,True,,Grup A
Gabriela,Ramírez González,32044922L,Mèxic,Ciutat de Mèxic,7,5,1980,D,2.356 €,,True,Grup C
Eva,Ferrer,54607036B,Espanya,Sevilla,24,1,1967,D,809 €,,True,Grup A
Toni,Romero,27007812G,Espanya,Barcelona,9,12,1989,H,1.659 €,True,,Grup A
Laura,Schneider Fischer,37399141L,Alemanya,Berlín,2,2,1958,D,1.769 €,True,,Grup B
Jordi,Ferrer Martínez,20733024B,Espanya,Sevilla,26,1,1970,H,1.464 €,True,,Grup A
Oriol,López,15110846Z,Espanya,València,27,6,2002,H,1.308 €,,True,Grup B
Núria,García Ferrer,83165476Y,Espanya,Sevilla,17,6,1957,A,1.240 €,,True,Grup B
Pau,Sánchez,53967981Q,Espanya,Madrid,1,12,1982,A,854 €,,True,Grup A
Daniel,Gutiérrez Castro,28967396E,Colòmbia,Medellín,4,5,1976,H,1.456 €,,True,Grup B
Carla,Castells García,52195959W,Espanya,Bilbao,7,1,1994,D,1.294 €,,True,Grup A
Jordi,Ferrer,47304350Y,Espanya,València,21,6,1967,H,1.330 €,True,,Grup B
Alessandro,Russo Ferrari,93759961P,Itàlia,Roma,13,8,1965,H,940 €,,True,Grup A
Michel,Lefevre,45820844F,França,Lió,14,1,1985,H,821 €,True,,Grup A
Salma,Zahraoui El Amrani,89715580M,Marroc,Rabat,28,9,1950,D,1.141 €,,True,Grup A
Pau,López Martínez,54585678Q,Espanya,Bilbao,22,5,1967,H,2.125 €,True,,Grup B
Joan,Romero,42625930X,Espanya,Bilbao,15,11,1987,H,1.528 €,,True,Grup B
Oriol,Sánchez Sánchez,44075059L,Espanya,Bilbao,17,3,2002,H,1.815 €,True,,Grup B
Núria,Sánchez,14065699S,Espanya,Sevilla,2,11,1991,D,1.027 €,,True,Grup A
Eva,Castells,13695774G,Espanya,Madrid,20,11,1957,D,1.377 €,,True,Grup A
Marta,Castells Ferrer,24435321M,Espanya,Sevilla,15,3,1981,D,1.872 €,True,,Grup B
Pau,Ferrer López,12499600L,Espanya,Bilbao,22,11,1960,H,2.570 €,True,,Grup C
Sofia,Oliveira,68455541R,Portugal,Porto,5,7,1952,D,1.413 €,,True,Grup B
Carla,López Ferrer,81229041Z,Espanya,Sevilla,4,9,1962,D,2.861 €,,True,Grup D
Marc,Martínez Ferrer,15812105B,Espanya,Madrid,14,7,1971,A,1.199 €,,True,Grup A
Eva,Martínez,12763903J,Espanya,Madrid,19,10,1974,NC,2.015 €,,True,Grup B
Toni,García,87744901Q,Espanya,Bilbao,20,9,1990,H,1.698 €,,True,Grup B
Amina,Bennani,99258742G,Marroc,Casablanca,22,10,2004,D,2.948 €,True,,Grup D
Oriol,Sánchez Martínez,28996393T,Espanya,Sevilla,5,1,1981,H,1.941 €,,True,Grup B
Anna,Ferrer,55395479J,Espanya,València,6,10,1984,D,1.531 €,True,,Grup B
Jordi,Sánchez,33484869X,Espanya,Barcelona,6,6,1981,H,2.756 €,,True,Grup D
Pau,Martínez López,88845881E,Espanya,Madrid,3,11,2000,H,2.785 €,True,,Grup D
Marta,Ferrer,68523497H,Espanya,Madrid,6,10,1986,D,1.280 €,,True,Grup A
Matías,Gómez Gómez,33939128K,Argentina,Còrdova,18,8,2002,H,2.080 €,True,,Grup B
Jean,Girard Moreau,28394981G,França,París,26,9,1991,NC,1.573 €,True,,Grup B
Clara,Martínez,13453262F,Espanya,Sevilla,4,7,2001,D,2.526 €,True,,Grup C
Marta,Martínez Castells,96105165A,Espanya,Barcelona,16,7,1977,D,2.452 €,True,,Grup C
Pau,Martínez,83703395A,Espanya,Madrid,14,2,1959,H,2.100 €,,True,Grup B
Oriol,García Castells,85011730B,Espanya,Barcelona,18,6,1955,H,1.212 €,,True,Grup A
Arnau,Ferrer Sánchez,26724488C,Espanya,Sevilla,3,5,1994,H,1.079 €,,True,Grup A
Louis,Moreau,76202240S,França,Lió,13,2,1974,H,1.664 €,True,,Grup A
Eva,Romero Ferrer,73749390X,Espanya,València,7,12,1965,D,1.861 €,,True,Grup B
Clara,Ferrer,85141625T,Espanya,Sevilla,21,12,1999,A,2.393 €,True,,Grup C
Eva,Castells,42823610D,Espanya,Madrid,9,7,1956,D,1.669 €,True,,Grup B
Oriol,Martínez Martínez,59073585L,Espanya,Sevilla,14,6,1991,NC,1.122 €,True,,Grup A
Fatima,Fassi,75141877A,Marroc,Casablanca,18,3,1958,D,1.154 €,,True,Grup B
Jordi,Ferrer,43586389Z,Espanya,Sevilla,15,2,1958,H,1.797 €,,True,Grup B
Arnau,Sánchez,98144857C,Espanya,Sevilla,21,10,1990,H,2.149 €,,True,Grup B
Carla,López,65912422Z,Espanya,Barcelona,18,7,1965,D,1.159 €,True,,Grup A
Eva,Sánchez,18599075T,Espanya,Sevilla,7,8,1992,D,999 €,True,,Grup A
Marta,Romero García,33058070M,Espanya,Madrid,11,5,1973,D,1.929 €,,True,Grup B
Marta,Romero,41916963A,Espanya,Sevilla,27,4,1976,D,1.759 €,,True,Grup B
Toni,Romero,33287222R,Espanya,València,19,1,1974,H,1.451 €,,True,Grup B
Felipe,Gutiérrez Torres,18968118M,Colòmbia,Bogotà,25,10,2004,H,1.376 €,,True,Grup A
Gabriela,Cruz González,52655443Q,Mèxic,Ciutat de Mèxic,3,1,1955,D,1.033 €,True,,Grup A
Carla,Ferrer López,77962069Z,Espanya,València,2,4,1984,D,1.495 €,True,,Grup A
Arnau,Romero Romero,29151933K,Espanya,València,8,10,1968,H,1.811 €,,True,Grup B
Carla,Ferrer López,79849410R,Espanya,Sevilla,17,7,1982,D,816 €,,True,Grup A
Marc,Romero Romero,46969469J,Espanya,Bilbao,8,8,1959,H,2.180 €,True,,Grup C
Laia,Martínez,58786173A,Espanya,Madrid,26,2,1979,D,1.306 €,,True,Grup A
Toni,Sánchez,21050694P,Espanya,Barcelona,1,1,1987,H,1.493 €,,True,Grup B
José,Hernández,80377928E,Mèxic,Guadalajara,12,1,1992,A,1.372 €,,True,Grup A
Jordi,Ferrer,90216874S,Espanya,Sevilla,12,7,2003,H,1.413 €,,True,Grup B
Toni,López Castells,35319597A,Espanya,Sevilla,18,8,1977,H,772 €,,True,Grup A
Beatriz,Ferreira Ferreira,78873166E,Portugal,Lisboa,17,11,1952,NC,974 €,,True,Grup A
Laia,Ferrer,50776135C,Espanya,Barcelona,23,11,1972,D,940 €,,True,Grup A
Anna,Castells García,20477181R,Espanya,Barcelona,22,10,1952,D,698 €,,True,Grup A
Oriol,Ferrer Martínez,96251362T,Espanya,Barcelona,26,7,1950,H,954 €,,True,Grup A
Jordi,Sánchez,21898585T,Espanya,Barcelona,18,6,1981,H,800 €,True,,Grup A
Anna,Sánchez,74017954Q,Espanya,València,25,2,1981,D,1.200 €,,True,Grup B
Arnau,Castells Sánchez,73128127J,Espanya,València,17,4,1998,H,2.791 €,,True,Grup D
Oriol,Ferrer Romero,73563832M,Espanya,Madrid,9,2,1985,H,1.970 €,,True,Grup B
Sophie,Smith,86350703G,Regne Unit,Manchester,8,1,1957,D,1.254 €,True,,Grup B
Marc,Castells Sánchez,60439277L,Espanya,Madrid,24,10,1974,H,842 €,,True,Grup A
Lea,Schneider Schneider,37368317L,Alemanya,Berlín,23,10,2005,D,2.013 €,,True,Grup B
Marta,Romero Sánchez,24418722F,Espanya,Bilbao,19,7,1968,D,1.036 €,,True,Grup A
Jordi,Sánchez Martínez,93647831W,Espanya,Barcelona,6,11,1998,H,1.095 €,,True,Grup A
Eva,García Martínez,86767469V,Espanya,Madrid,10,7,1965,D,1.994 €,True,,Grup C
Youssef,Fassi Zahraoui,63099488Q,Marroc,Casablanca,8,3,2003,H,1.239 €,True,,Grup A
Pau,López,16775772V,Espanya,Madrid,24,5,1977,H,847 €,,True,Grup A
Marta,Ferrer,58136944R,Espanya,Barcelona,28,6,2001,D,1.303 €,True,,Grup A
Oliver,Jones,43731528C,Regne Unit,Londres,1,6,1959,H,911 €,True,,Grup A
José,González Ramírez,83710837G,Mèxic,Ciutat de Mèxic,2,3,1955,H,1.677 €,,True,Grup B
Carla,García Martínez,56628392X,Espanya,Madrid,19,4,1981,D,1.491 €,True,,Grup A
Marta,García Sánchez,37718344N,Espanya,València,3,2,1962,D,1.120 €,True,,Grup A
Laia,Castells,77632270Q,Espanya,Madrid,11,4,1986,D,917 €,,True,Grup A
Sophie,Moreau Dubois,80554783G,França,Marsella,27,4,1956,D,1.506 €,,True,Grup A
Jordi,Sánchez,76674953J,Espanya,Bilbao,5,3,1952,H,1.249 €,,True,Grup A
Maria,Silva Oliveira,91487269P,Portugal,Lisboa,4,9,1993,NC,2.894 €,,True,Grup D
Clara,Sánchez,10261037F,Espanya,Sevilla,14,10,1970,D,938 €,True,,Grup A
Tiago,Oliveira,72940295V,Portugal,Porto,22,3,1989,H,1.354 €,True,,Grup A
Chloé,Girard,53263676R,França,París,5,10,1952,D,741 €,True,,Grup A
Eva,Martínez,33077646V,Espanya,Sevilla,18,3,1986,D,1.800 €,,True,Grup C
Marc,Castells,56070621Z,Espanya,Madrid,28,11,1976,H,2.217 €,,True,Grup C
Sara,Gutiérrez,69273831N,Colòmbia,Bogotà,26,2,1970,D,1.893 €,,True,Grup B
Eva,García,27292471C,Espanya,Bilbao,18,10,1962,NC,2.135 €,,True,Grup B
Núria,López Romero,69900538Q,Espanya,Barcelona,17,9,1957,D,1.047 €,,True,Grup A
Arnau,Sánchez,42831725E,Espanya,Sevilla,13,11,1967,H,2.069 €,,True,Grup C
Laia,Martínez,97525504X,Espanya,Barcelona,22,1,1951,D,1.188 €,True,,Grup A
Jordi,Romero García,41171214L,Espanya,Sevilla,6,8,2000,H,1.972 €,True,,Grup B
Marta,García Romero,49833520M,Espanya,Madrid,27,10,1984,D,954 €,,True,Grup A
Emily,Jones,15594293F,Regne Unit,Londres,15,11,1969,D,1.274 €,,True,Grup B
Élise,Moreau,30736318Q,França,París,25,7,2001,D,930 €,,True,Grup A
Pau,Romero Romero,57192874B,Espanya,Sevilla,12,4,1990,H,940 €,,True,Grup A
Joan,Romero,94898766F,Espanya,Barcelona,26,4,1969,A,3.175 €,,True,Grup D
Arnau,Ferrer,87813160D,Espanya,València,24,3,1990,A,2.605 €,True,,Grup D
Joan,Romero Sánchez,51884150Q,Espanya,Bilbao,24,7,1951,H,1.493 €,True,,Grup B
Daniela,Torres,31682831V,Colòmbia,Medellín,17,5,1970,D,1.064 €,True,,Grup A
Joan,Romero Martínez,65118360Z,Espanya,Bilbao,19,11,1954,H,2.091 €,,True,Grup B
María,Cruz,81992107P,Mèxic,Ciutat de Mèxic,14,3,1958,D,2.653 €,True,,Grup D
Joan,Sánchez,21526488C,Espanya,València,9,8,1997,H,2.303 €,True,,Grup B
Clara,Ferrer,81401769X,Espanya,València,14,12,2002,D,979 €,True,,Grup A
Marta,Martínez,98052221N,Espanya,Bilbao,22,6,1973,D,818 €,,True,Grup A
Mohamed,El Amrani Zahraoui,49061102W,Marroc,Casablanca,12,8,1984,A,1.545 €,True,,Grup B
Jordi,López,68625528R,Espanya,València,1,5,1996,H,1.319 €,True,,Grup A
Jordi,Sánchez,58101481N,Espanya,Bilbao,20,4,1993,H,1.289 €,,True,Grup A
Anna,García,12401771G,Espanya,Madrid,19,7,1972,NC,1.019 €,,True,Grup A
Pau,Ferrer,60287803J,Espanya,Barcelona,15,3,1991,H,1.503 €,True,,Grup B
Toni,Ferrer,24315095T,Espanya,Bilbao,24,2,1964,A,2.140 €,,True,Grup B
Oriol,Castells,14473175F,Espanya,Bilbao,17,3,1965,H,2.222 €,,True,Grup B
Marco,Conti Rossi,56555741Z,Itàlia,Roma,4,1,1986,H,1.450 €,,True,Grup B
Clara,Ferrer García,16472230S,Espanya,València,26,1,1957,D,696 €,True,,Grup A
Eva,García Sánchez,29758839B,Espanya,Madrid,28,5,1968,D,948 €,,True,Grup A
Marc,Ferrer Sánchez,34349532Y,Espanya,Barcelona,15,7,1977,H,1.674 €,,True,Grup A
Núria,García Martínez,52037173E,Espanya,Barcelona,26,5,2005,D,1.320 €,True,,Grup A
Pau,Ferrer García,38355195J,Espanya,València,14,9,1984,H,1.269 €,True,,Grup A
Alessandro,Ferrari,61746871V,Itàlia,Torí,13,4,1972,A,1.334 €,True,,Grup A
Jordi,Romero Ferrer,59810160K,Espanya,Madrid,15,4,2002,H,1.289 €,,True,Grup A
Mia,Fischer,21390098Z,Alemanya,Berlín,11,8,1950,D,1.557 €,True,,Grup B
Clara,Castells Castells,43764388P,Espanya,València,15,8,1962,D,2.326 €,True,,Grup C
Núria,Sánchez Martínez,10102138Q,Espanya,Madrid,4,1,1958,D,1.450 €,,True,Grup A
Lea,Müller,23266650S,Alemanya,Hamburg,14,4,2003,D,1.314 €,,True,Grup A
Jordi,Castells,74165595P,Espanya,Bilbao,1,6,1953,H,1.326 €,True,,Grup A
Carla,López López,37325572G,Espanya,Barcelona,7,3,1956,D,812 €,True,,Grup A
